State,Date Local,CO Mean
Massachusetts,3/7/03,0.608333
Massachusetts,3/8/03,0.578261
Massachusetts,3/9/03,0.434783
Massachusetts,3/10/03,0.491667
Massachusetts,3/11/03,0.55
Massachusetts,3/12/03,0.583333
Massachusetts,3/13/03,0.708333
Massachusetts,3/14/03,0.483333
Massachusetts,3/15/03,0.733333
Massachusetts,3/16/03,0.945455
Massachusetts,3/17/03,1.369565
Massachusetts,3/18/03,0.673913
Massachusetts,3/19/03,0.5
Massachusetts,3/20/03,0.616667
Massachusetts,3/21/03,0.5625
Massachusetts,3/22/03,0.925
Massachusetts,3/23/03,0.526087
Massachusetts,3/24/03,0.705556
Massachusetts,3/25/03,0.540909
Massachusetts,3/26/03,0.443478
Massachusetts,3/27/03,0.479167
Massachusetts,3/28/03,0.686364
Massachusetts,3/29/03,0.382609
Massachusetts,3/30/03,0.378261
Massachusetts,3/31/03,0.379167
Massachusetts,4/1/03,0.479167
Massachusetts,4/2/03,0.595833
Massachusetts,4/3/03,0.65
Massachusetts,4/4/03,0.547826
Massachusetts,4/5/03,0.404348
Massachusetts,4/6/03,0.340909
Massachusetts,4/7/03,0.475
Massachusetts,4/8/03,0.608696
Massachusetts,4/9/03,0.683333
Massachusetts,4/10/03,0.685714
Massachusetts,4/11/03,0.578261
Massachusetts,4/12/03,0.604167
Massachusetts,4/13/03,0.566667
Massachusetts,4/14/03,0.654167
Massachusetts,4/15/03,0.6
Massachusetts,4/16/03,0.565217
Massachusetts,4/17/03,0.491304
Massachusetts,4/18/03,0.479167
Massachusetts,4/19/03,0.495833
Massachusetts,4/20/03,0.491304
Massachusetts,4/21/03,0.57619
Massachusetts,4/22/03,0.554167
Massachusetts,4/23/03,0.534783
Massachusetts,4/24/03,0.431579
Massachusetts,4/25/03,0.526087
Massachusetts,4/26/03,0.46087
Massachusetts,4/27/03,0.479167
Massachusetts,4/28/03,0.708696
Massachusetts,4/29/03,0.5125
Massachusetts,4/30/03,0.427273
Massachusetts,5/1/03,0.547826
Massachusetts,5/2/03,0.395652
Massachusetts,5/3/03,0.379167
Massachusetts,5/4/03,0.530435
