,date,open,high,low,close,volume,Name,RealName,dat,value
5800,2018-11-01,35.8629,36.3082,35.3236,36.0905,15233151,GM,General Motors,1,16.808319200445336
5902,2014-04-01,30.9587,31.0113,30.7673,30.8972,447542,HMC,Honda Motors Company,1,4.543839644315717
5923,2014-05-01,29.4577,29.5806,29.3787,29.5543,808385,HMC,Honda Motors Company,1,-5.000032144211787
5965,2014-07-01,30.9597,31.1539,30.9508,31.1098,314806,HMC,Honda Motors Company,1,1.820740668008576
5987,2014-08-01,30.8449,30.889,30.5181,30.5535,1120345,HMC,Honda Motors Company,1,1.8514505918708144
6029,2014-10-01,30.3088,30.3265,29.9182,29.9981,694921,HMC,Honda Motors Company,1,10.750901754036214
6071,2014-12-01,26.9796,27.1572,26.8731,27.0861,1479285,HMC,Honda Motors Company,1,-7.779756291048004
6154,2015-04-01,29.3531,29.398000000000003,29.1062,29.3711,864777,HMC,Honda Motors Company,1,-4.412731473947988
6175,2015-05-01,30.6192,30.726999999999997,30.5025,30.726999999999997,745652,HMC,Honda Motors Company,1,-0.14591234210432877
6195,2015-06-01,30.8347,30.8347,30.5743,30.7719,262413,HMC,Honda Motors Company,1,7.497083050954023
6217,2015-07-01,28.7964,28.8234,28.5674,28.6258,413949,HMC,Honda Motors Company,1,4.886762103319277
6260,2015-09-01,27.3011,27.554000000000002,27.2108,27.2921,775550,HMC,Honda Motors Company,1,0.11481687991548914
6281,2015-10-01,27.2517,27.3517,27.0573,27.2608,432498,HMC,Honda Motors Company,1,-9.934054896985561
6323,2015-12-01,30.1404,30.3584,30.1041,30.2676,459772,HMC,Honda Motors Company,1,19.4431071087504
6364,2016-02-01,25.2401,25.4412,25.0162,25.3406,1484503,HMC,Honda Motors Company,1,3.818751664379205
6384,2016-03-01,23.7963,24.4634,23.7506,24.4085,1589318,HMC,Honda Motors Company,1,0.794928972580123
6406,2016-04-01,24.2621,24.3726,24.0963,24.215999999999998,719464,HMC,Honda Motors Company,1,-5.090378917334267
6448,2016-06-01,25.6161,25.6161,25.3674,25.5148,619327,HMC,Honda Motors Company,1,9.31650407235555
6470,2016-07-01,23.331,23.4843,23.2381,23.3403,1386523,HMC,Honda Motors Company,1,-7.951412852720215
6490,2016-08-01,25.3751,25.5238,25.3379,25.3565,830398,HMC,Honda Motors Company,1,-11.33873906004692
6513,2016-09-01,28.7758,28.8966,28.432,28.5993,652902,HMC,Honda Motors Company,1,5.317950153193491
6555,2016-11-01,27.5013,27.52,26.94,27.1552,832298,HMC,Honda Motors Company,1,-1.9915544808171097
6576,2016-12-01,27.6977,27.9362,27.6182,27.706999999999997,900846,HMC,Honda Motors Company,1,-1.8356002281657249
6617,2017-02-01,28.4795,28.4795,28.1591,28.2251,982056,HMC,Honda Motors Company,1,-4.2506131670630065
6636,2017-03-01,29.4498,29.544,29.4498,29.4781,483368,HMC,Honda Motors Company,1,6.844196043465342
6678,2017-05-01,27.4949,27.6193,27.4665,27.5898,684000,HMC,Honda Motors Company,1,2.7924427074213076
6700,2017-06-01,26.6031,26.8688,26.5783,26.8403,869438,HMC,Honda Motors Company,1,-2.7197570195754333
6742,2017-08-01,27.6385,27.6863,27.4281,27.5907,1043486,HMC,Honda Motors Company,1,2.2688352990889005
6765,2017-09-01,26.9595,27.0742,26.9308,26.9786,447075,HMC,Honda Motors Company,1,-12.743985070620237
6807,2017-11-01,30.7637,30.9189,30.6375,30.9189,830473,HMC,Honda Motors Company,1,-4.5235580753339635
6828,2017-12-01,32.4032,32.4711,32.1316,32.3838,678030,HMC,Honda Motors Company,1,-5.734720075449955
6869,2018-02-01,34.2855,34.4125,34.1878,34.3539,676862,HMC,Honda Motors Company,1,0.14254481853958104
6888,2018-03-01,35.106,35.1744,34.1878,34.305,1110873,HMC,Honda Motors Company,1,2.808079597218885
6930,2018-05-01,33.4566,33.5058,33.2007,33.368,390820,HMC,Honda Motors Company,1,5.93553958296295
6952,2018-06-01,31.3803,31.5574,31.3803,31.4984,335366,HMC,Honda Motors Company,1,3.765050814514671
6994,2018-08-01,30.6035,30.7027,30.2067,30.3555,535251,HMC,Honda Motors Company,1,-0.21203155818541236
7036,2018-10-01,30.38,30.42,30.24,30.42,796812,HMC,Honda Motors Company,1,5.4785020804438345
7059,2018-11-01,28.65,28.85,28.57,28.84,1117307,HMC,Honda Motors Company,1,549.5495495495494
7141,2017-11-01,4.25,4.44,4.24,4.44,53723,FUV,Arcimoto,1,45.140727664999524
7162,2017-12-01,3.19,3.2599,2.81,3.0591,69127,FUV,Arcimoto,1,-4.700934579439253
7203,2018-02-01,3.2103,3.48,3.11,3.21,10475,FUV,Arcimoto,1,8.445945945945946
7222,2018-03-01,2.86,3.4,2.85,2.96,13238,FUV,Arcimoto,1,-0.671140939597316
7264,2018-05-01,2.9,2.98,2.9,2.98,4772,FUV,Arcimoto,1,-5.0955414012738895
7286,2018-06-01,3.016,3.14,3.0,3.14,17062,FUV,Arcimoto,1,-11.549295774647879
7328,2018-08-01,3.65,3.65,3.55,3.55,20255,FUV,Arcimoto,1,-5.3333333333333375
